STAGE:2024-04-28 16:13:59 2178175:2178175 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:14:11 2178175:2178175 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:14:11 2178175:2178175 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        49.59%        8.964s        49.59%        8.964s     151.643us     954.037ms         8.11%     954.037ms      16.140us         59110  
                                          backward_pass        35.43%        6.405s        35.56%        6.427s        1.285s       0.000us         0.00%      13.263ms       2.653ms             5  
                                        cudaMemcpyAsync         5.21%     941.715ms         5.21%     941.715ms     975.870us      21.625ms         0.18%      21.625ms      22.409us           965  
                                              aten::mul         1.13%     203.902ms        20.37%        3.682s     197.683us        1.599s        13.59%        1.898s     101.899us         18625  
                              Optimizer.step#AdamW.step         1.02%     184.395ms        19.34%        3.495s     699.003ms       0.000us         0.00%        2.639s     527.857ms             5  
                                             cudaMalloc         0.83%     149.939ms         0.83%     149.939ms     475.997us      11.962ms         0.10%      11.962ms      37.975us           315  
                                        cudaMemsetAsync         0.68%     123.345ms         0.68%     123.345ms      85.360us      25.087ms         0.21%      25.087ms      17.361us          1445  
                                               aten::mm         0.48%      86.889ms         4.78%     863.126ms     199.106us        7.051s        59.91%        7.250s       1.672ms          4335  
                                           forward_pass         0.46%      83.278ms        10.05%        1.816s     363.211ms       0.000us         0.00%        3.494s     698.722ms             5  
                                              aten::add         0.43%      77.002ms         4.96%     895.644ms     123.367us     629.875ms         5.35%     743.333ms     102.387us          7260  
                                  cudaDeviceSynchronize         0.39%      69.624ms         0.39%      69.624ms      69.624ms       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::div         0.29%      51.671ms         3.65%     659.903ms     151.702us     478.423ms         4.07%     559.314ms     128.578us          4350  
                                              aten::pow         0.28%      50.484ms         7.49%        1.353s     372.759us     212.858ms         1.81%     292.470ms      80.570us          3630  
                                       aten::zeros_like         0.18%      32.316ms         2.17%     392.223ms     101.350us       0.000us         0.00%     167.507ms      43.283us          3870  
                                              aten::sum         0.16%      28.746ms         3.24%     584.775ms     340.977us      87.107ms         0.74%     115.856ms      67.555us          1715  
                                    aten::empty_strided         0.14%      25.476ms         0.14%      25.476ms       6.191us       0.000us         0.00%       0.000us       0.000us          4115  
                                              aten::bmm         0.14%      25.173ms         1.10%     199.235ms     138.358us     211.602ms         1.80%     243.312ms     168.967us          1440  
                                             aten::sub_         0.14%      24.796ms         2.15%     387.956ms     100.247us     379.280ms         3.22%     425.799ms     110.026us          3870  
