STAGE:2024-04-28 16:05:11 2174329:2174329 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:05:23 2174329:2174329 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:05:23 2174329:2174329 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.48%      86.427ms         4.80%     868.148ms     200.265us        7.060s        59.95%        7.259s       1.675ms          4335  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.392s        20.31%        2.392s       1.655ms          1445  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        2.328s        19.77%        2.328s       1.611ms          1445  
                                              aten::mul         1.12%     201.769ms        20.38%        3.687s     197.933us        1.599s        13.58%        1.898s     101.913us         18625  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.595s        13.54%        1.595s       1.324ms          1205  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.045s         8.87%        1.045s     102.788us         10165  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     972.852ms         8.26%     972.852ms      73.147us         13300  
                                       cudaLaunchKernel        49.67%        8.985s        49.67%        8.985s     152.008us     954.446ms         8.10%     954.446ms      16.147us         59110  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     744.250ms         6.32%     744.250ms       3.101ms           240  
                                              aten::add         0.42%      76.773ms         4.95%     894.680ms     123.234us     629.817ms         5.35%     743.221ms     102.372us          7260  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     515.615ms         4.38%     515.615ms     152.549us          3380  
                                              aten::div         0.28%      50.692ms         3.62%     655.714ms     150.739us     478.530ms         4.06%     559.540ms     128.630us          4350  
                                             aten::sub_         0.13%      24.379ms         2.15%     388.492ms     100.386us     379.354ms         3.22%     425.816ms     110.030us          3870  
                                             aten::add_         0.08%      14.616ms         2.01%     364.409ms     187.840us     247.131ms         2.10%     271.390ms     139.892us          1940  
                                              aten::pow         0.27%      49.270ms         7.53%        1.362s     375.098us     212.854ms         1.81%     292.272ms      80.516us          3630  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     212.357ms         1.80%     212.357ms      79.833us          2660  
                                              aten::bmm         0.14%      24.981ms         1.09%     196.926ms     136.754us     211.587ms         1.80%     243.368ms     169.006us          1440  
