STAGE:2024-04-28 16:12:01 2177080:2177080 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:12:04 2177080:2177080 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:12:04 2177080:2177080 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        80.25%        2.557s        80.25%        2.557s     258.269us     240.786ms         7.56%     240.786ms      24.322us          9900  
                                  cudaDeviceSynchronize        10.29%     327.963ms        10.29%     327.963ms     327.963ms       0.000us         0.00%       0.000us       0.000us             1  
                                           forward_pass         2.47%      78.844ms        89.71%        2.858s     571.594ms       0.000us         0.00%        3.466s     693.248ms             5  
                                               aten::mm         0.84%      26.775ms        21.16%     673.993ms     466.431us        2.423s        76.09%        2.475s       1.713ms          1445  
                                           aten::linear         0.52%      16.726ms        21.90%     697.576ms     482.752us       0.000us         0.00%        2.425s       1.678ms          1445  
                                              aten::mul         0.48%      15.303ms         2.25%      71.617ms      49.391us     185.337ms         5.82%     226.539ms     156.234us          1450  
                                           aten::matmul         0.44%      14.164ms        34.90%        1.112s     577.607us       0.000us         0.00%        2.614s       1.358ms          1925  
                                              aten::add         0.43%      13.843ms         3.35%     106.766ms      88.236us      95.763ms         3.01%     125.503ms     103.721us          1210  
                                            aten::copy_         0.38%      12.240ms        13.62%     433.903ms     300.279us      88.368ms         2.77%     123.133ms      85.213us          1445  
                                            aten::empty         0.33%      10.451ms         0.33%      10.451ms       7.158us       0.000us         0.00%       0.000us       0.000us          1460  
                                        cudaMemcpyAsync         0.29%       9.384ms         0.29%       9.384ms      39.100us       7.756ms         0.24%       7.756ms      32.317us           240  
                                              aten::bmm         0.27%       8.456ms         0.69%      22.089ms      46.019us      69.302ms         2.18%      79.317ms     165.244us           480  
                                              aten::div         0.26%       8.227ms        13.93%     443.836ms     616.439us     108.542ms         3.41%     124.864ms     173.422us           720  
                                             aten::mean         0.23%       7.342ms         1.02%      32.482ms      66.973us      17.014ms         0.53%      41.695ms      85.969us           485  
                                              aten::pow         0.22%       6.949ms        12.74%     405.746ms     836.590us      27.649ms         0.87%      39.438ms      81.315us           485  
                                        aten::transpose         0.20%       6.448ms         0.23%       7.357ms       2.781us       0.000us         0.00%       0.000us       0.000us          2645  
                                             aten::ones         0.18%       5.726ms         3.11%      99.066ms     412.775us       0.000us         0.00%      10.259ms      42.746us           240  
                                          aten::reshape         0.16%       5.144ms        12.52%     398.805ms     165.137us       0.000us         0.00%      60.303ms      24.970us          2415  
