STAGE:2024-04-28 16:07:03 2175220:2175220 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:07:06 2175220:2175220 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:07:06 2175220:2175220 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.83%      26.412ms        21.18%     676.751ms     468.340us        2.431s        76.15%        2.483s       1.718ms          1445  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.431s        76.15%        2.431s       1.682ms          1445  
                                       cudaLaunchKernel        80.45%        2.570s        80.45%        2.570s     259.592us     241.808ms         7.57%     241.808ms      24.425us          9900  
                                              aten::mul         0.48%      15.234ms         2.25%      71.869ms      49.565us     185.267ms         5.80%     226.666ms     156.321us          1450  
                                              aten::div         0.25%       8.138ms        13.96%     446.084ms     619.561us     108.549ms         3.40%     124.918ms     173.497us           720  
                                              aten::add         0.43%      13.683ms         3.35%     106.984ms      88.417us      95.711ms         3.00%     125.540ms     103.752us          1210  
                                            aten::copy_         0.36%      11.599ms        13.65%     435.971ms     301.710us      88.392ms         2.77%     123.376ms      85.381us          1445  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      81.910ms         2.57%      81.910ms     170.646us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      79.278ms         2.48%      79.278ms     330.325us           240  
                                              aten::bmm         0.26%       8.397ms         0.69%      22.175ms      46.198us      69.293ms         2.17%      79.452ms     165.525us           480  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      69.293ms         2.17%      69.293ms     144.360us           480  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      61.076ms         1.91%      61.076ms      63.621us           960  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.018ms         1.72%      55.018ms      75.887us           725  
                                              aten::erf         0.07%       2.304ms         0.87%      27.837ms     115.987us      54.519ms         1.71%      63.757ms     265.654us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.519ms         1.71%      54.519ms     227.162us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.146ms         1.66%      53.146ms     221.442us           240  
